Algorithm,Dataset,Min_Memory_GB,Max_Memory_GB,Mean_Memory_GB
CECI,enron,9.913158416748047e-06,5.982742309570313e-05,2.8117974599202477e-05
CECI,dblp,6.003789901733399e-05,0.0003518157958984375,0.00017146186828613278
CECI,livejournal,0.0018770948410034179,0.011611178398132324,0.005337284167607626
CECI,roadnet,0.00011891584396362305,0.0007782930374145507,0.00046216278076171874
SLF,enron,,,
SLF,dblp,0.215972900390625,0.7639808654785156,0.4217931111653646
SLF,livejournal,0.0,9.330886840820312,2.188763328220533
SLF,roadnet,0.7414054870605469,3.958667755126953,1.9230692545572916
VF3-O,enron,0.4747657775878906,173.39664459228516,46.50171939746754
VF3-O,dblp,0.00179290771484375,495.0639228820801,232.20164196307843
VF3-O,livejournal,0.0,497.66758728027344,251.841282526652
VF3-O,roadnet,1.1245880126953125,321.4307556152344,81.97273802757263
