Algorithm,Dataset,Type,Size,Threads,EPS,EPS_1T,Speedup
CECI,enron,sparse,8,1,109160771.98497948,109160771.98497948,1.0
CECI,enron,sparse,8,8,8720281.386036389,109160771.98497948,0.07988475372120214
CECI,enron,sparse,8,16,14969656.865533564,109160771.98497948,0.13713403261377988
CECI,enron,sparse,8,32,11668557.602998352,109160771.98497948,0.10689332248954729
CECI,enron,sparse,8,64,13445559.980638396,109160771.98497948,0.12317208587063222
CECI,enron,sparse,16,1,115858745.01807396,115858745.01807396,1.0
CECI,enron,sparse,16,8,8033741.82767624,115858745.01807396,0.06934083246303917
CECI,enron,sparse,16,16,10789698.27688523,115858745.01807396,0.0931280437674518
CECI,enron,sparse,16,32,10491264.260250488,115858745.01807396,0.09055220008307402
CECI,enron,sparse,16,64,11942666.319533184,115858745.01807396,0.10307954153715482
CECI,enron,sparse,32,1,111592197.47355264,111592197.47355264,1.0
CECI,enron,sparse,32,8,6903340.871781489,111592197.47355264,0.06186221822020828
CECI,enron,sparse,32,16,7880369.857270745,111592197.47355264,0.0706175703649746
CECI,enron,sparse,32,32,6431579.840342469,111592197.47355264,0.05763467326527693
CECI,enron,sparse,32,64,11786310.272240177,111592197.47355264,0.10561948361159867
CECI,enron,dense,8,1,122132929.48044653,122132929.48044653,1.0
CECI,enron,dense,8,8,8363567.730679741,122132929.48044653,0.06847921986525958
CECI,enron,dense,8,16,7943392.384511021,122132929.48044653,0.06503890816589933
CECI,enron,dense,8,32,7882991.563622833,122132929.48044653,0.06454435832463103
CECI,enron,dense,8,64,10605084.798248889,122132929.48044653,0.08683231331110225
CECI,enron,dense,16,1,120377503.85208012,120377503.85208012,1.0
CECI,enron,dense,16,8,13277215.130714182,120377503.85208012,0.11029648153386885
CECI,enron,dense,16,16,8114406.804416833,120377503.85208012,0.06740800020565152
CECI,enron,dense,16,32,6891153.124173062,120377503.85208012,0.05724618723313046
CECI,enron,dense,16,64,11687568.915744321,120377503.85208012,0.09709097249687122
CECI,enron,dense,32,1,110465501.62384288,110465501.62384288,1.0
CECI,enron,dense,32,8,11640820.32859707,110465501.62384288,0.10537969010665783
CECI,enron,dense,32,16,7610732.502545789,110465501.62384288,0.06889691705254601
CECI,enron,dense,32,32,6878658.028906872,110465501.62384288,0.062269739672482345
CECI,enron,dense,32,64,8756567.950963221,110465501.62384288,0.07926970703288966
CECI,dblp,sparse,8,1,27537588.808723908,27537588.808723908,1.0
CECI,dblp,sparse,8,8,6864643.793676292,27537588.808723908,0.24928267472356086
CECI,dblp,sparse,8,16,6330637.621706486,27537588.808723908,0.22989077459464932
CECI,dblp,sparse,8,32,5994128.034526165,27537588.808723908,0.21767076544578315
CECI,dblp,sparse,8,64,9685988.454311231,27537588.808723908,0.35173698472985804
CECI,dblp,sparse,16,1,13699756.14434063,13699756.14434063,1.0
CECI,dblp,sparse,16,8,5379699.812786469,13699756.14434063,0.3926858081345355
CECI,dblp,sparse,16,16,6057083.272762515,13699756.14434063,0.442130736412027
CECI,dblp,sparse,16,32,7857191.36966497,13699756.14434063,0.5735278268373248
CECI,dblp,sparse,16,64,7979069.162517554,13699756.14434063,0.5824241744488063
CECI,dblp,sparse,32,1,6983532.829587832,6983532.829587832,1.0
CECI,dblp,sparse,32,8,5050811.564337232,6983532.829587832,0.7232459111437056
CECI,dblp,sparse,32,16,3793569.9003050034,6983532.829587832,0.5432164483042746
CECI,dblp,sparse,32,32,3995207.3511785856,6983532.829587832,0.5720897214446664
CECI,dblp,sparse,32,64,5136533.7675412465,6983532.829587832,0.7355208163093012
CECI,dblp,dense,8,1,29981411.52485459,29981411.52485459,1.0
CECI,dblp,dense,8,8,10709620.879473943,29981411.52485459,0.35720869481397394
CECI,dblp,dense,8,16,6957491.407500174,29981411.52485459,0.2320601684057608
CECI,dblp,dense,8,32,6220843.297045101,29981411.52485459,0.20749000732964232
CECI,dblp,dense,8,64,8587824.018412285,29981411.52485459,0.28643828231012336
CECI,dblp,dense,16,1,14450031.790069938,14450031.790069938,1.0
CECI,dblp,dense,16,8,7601326.27930311,14450031.790069938,0.5260421838328925
CECI,dblp,dense,16,16,5721545.160146015,14450031.790069938,0.3959538112627448
CECI,dblp,dense,16,32,5047040.92138733,14450031.790069938,0.34927541992368877
CECI,dblp,dense,16,64,6506525.258308826,14450031.790069938,0.450277573976004
CECI,dblp,dense,32,1,6511773.286101271,6511773.286101271,1.0
CECI,dblp,dense,32,8,4288937.630276465,6511773.286101271,0.6586435740062961
CECI,dblp,dense,32,16,3919632.8088865895,6511773.286101271,0.6019301711950957
CECI,dblp,dense,32,32,3636920.3296503467,6511773.286101271,0.5585145811837444
CECI,dblp,dense,32,64,4033821.9633406475,6511773.286101271,0.6194659712662965
CECI,livejournal,sparse,8,1,919531.7744204651,919531.7744204651,1.0
CECI,livejournal,sparse,8,8,936522.635748937,919531.7744204651,1.0184777316033264
CECI,livejournal,sparse,8,16,975294.1291211043,919531.7744204651,1.0606421183604922
CECI,livejournal,sparse,8,32,978638.7728658835,919531.7744204651,1.064279451879377
CECI,livejournal,sparse,8,64,954399.7404035198,919531.7744204651,1.0379192616862318
CECI,livejournal,sparse,16,1,457065.5477702057,457065.5477702057,1.0
CECI,livejournal,sparse,16,8,431547.9277070998,457065.5477702057,0.9441707645925325
CECI,livejournal,sparse,16,16,432672.01737610437,457065.5477702057,0.9466301266566575
CECI,livejournal,sparse,16,32,443407.9618314518,457065.5477702057,0.9701189774521785
CECI,livejournal,sparse,16,64,439536.4916053001,457065.5477702057,0.961648703888488
CECI,livejournal,sparse,32,1,225780.42131529737,225780.42131529737,1.0
CECI,livejournal,sparse,32,8,219866.45752972155,225780.42131529737,0.9738065694486543
CECI,livejournal,sparse,32,16,196895.6260433005,225780.42131529737,0.8720668731871135
CECI,livejournal,sparse,32,32,221461.57488343376,225780.42131529737,0.9808714750078686
CECI,livejournal,sparse,32,64,216787.03250458612,225780.42131529737,0.9601675434994774
CECI,livejournal,dense,8,1,1092626.3021373956,1092626.3021373956,1.0
CECI,livejournal,dense,8,8,978868.330481564,1092626.3021373956,0.8958857466333199
CECI,livejournal,dense,8,16,1009067.783098927,1092626.3021373956,0.9235250708544985
CECI,livejournal,dense,8,32,981142.8935852908,1092626.3021373956,0.8979674859244913
CECI,livejournal,dense,8,64,1012702.1503699397,1092626.3021373956,0.9268513382744784
